"Family","Genus","Sppecies","Subspecies","Tissue type","Amount of extracted DNA","Concentration","Area of Endemism","Tissue #","Voucher #","Study #","Data of Collection","Lat","Long","State","Locality","Sex","Mean Coverage","SD Coverage","% excluded read after filtering","% of the genome w/ coverage > 5x","Missingness after filtering","Obs"
"Cotingidae","Lipaugus","vociferans","vociferans","Muscle",3810,25.4,"Tapajos","T2379",59259,"BR163-002","24-11-2005",-8.399,-55.386,"Pará","Altamira, 30 km SW Castelo dos Sonhos, Fazenda Jamanxin ","M",12.613085,72.12185,0.283487,0.961206,0.0686414,
"Cotingidae","Lipaugus","vociferans","vociferans","Muscle",3360,22.4,"Tapajos","T2307","?","BR163-083","29-11-2005",-8.399,-55.386,"Pará","Altamira, 30 km SW Castelo dos Sonhos, Fazenda Jamanxin ","?",11.164679,62.806654,0.276137,0.948609,0.100413,
"Cotingidae","Lipaugus","vociferans","vociferans","Muscle",4860,48.6,"Xingu","T26733",81842,"CAX 15-120","19-11-2015",-1.738,-51.456,"Pará","Melgaço, FloNa Caxiuanã, Estação Científica Ferreira Penna ","M",6.453815,44.091184,0.233702,0.714414,0.484289,
"Cotingidae","Lipaugus","vociferans","vociferans","Muscle",6612,66.12,"Xingu","T19118","156 sap","COUFT 0510","13-11-2012",-6.746,-48.16,"Tocantins","Fazenda Sapucaia - Trilha josué","M",9.192577,72.902064,0.266826,0.874943,0.217117,
"Cotingidae","Lipaugus","vociferans","vociferans","Muscle",4770,31.8,"Tapajos","T13790",70680,"FTAP 007","13-9-2010",-3.041,-54.935,"Pará","Belterra, Flona Tapajós, km 67 ","F",9.910493,68.7442,0.293609,0.905524,0.151535,
"Cotingidae","Lipaugus","vociferans","vociferans","Muscle",4470,29.8,"Tapajos","T23031",79360,"HIB 114","21-8-2014",-9.777,-54.353,"Mato Grosso","Guarantã do Norte, Fazenda Santa Maria ","F",10.714132,74.686649,0.281971,0.923377,0.126369,
"Cotingidae","Lipaugus","vociferans","vociferans","Muscle",7830,52.2,"Tapajos","T18706",75833,"JAT(A) 110","17-10-2012",-5.767,-57.288,"Pará","Jacareacanga, margem direita Rio Crepori ","F",8.473942,59.80255,0.284331,0.85442,0.247015,
"Cotingidae","Lipaugus","vociferans","vociferans","Muscle",7560,75.6,"Tapajos","T18718",75845,"JAT(A) 123","17-10-2012",-5.767,-57.288,"Pará","Jacareacanga, margem direita Rio Crepori ","M",11.34571,68.896479,0.256583,0.948719,0.107838,
"Cotingidae","Lipaugus","vociferans","vociferans","Muscle",9720,64.8,"Tapajos","T13565",70884,"MIRI 010","2-9-2010",-4.283,-55.917,"Pará","Itaituba, Miritituba ","?",10.490449,74.273672,0.297353,0.918775,0.127263,
"Cotingidae","Lipaugus","vociferans","vociferans","Muscle",5430,36.2,"Xingu","T10387",67771,"MOP 070","25-7-2009",-6.45,-51.067,"Pará","Parauapebas, Serra do Puma ","M",9.850005,57.009175,0.275204,0.924978,0.155373,
