,"Seg._sites_Belem","Seg._sites_Xingu","Seg._sites_Tapajos","Pi_Belem","Pi_Xingu","Pi_Tapajos","Taj_D_Belem","Taj_D_Xingu","Taj_D_Tapajos","Dxy_Belem_vs_Xingu","Dxy_Belem_vs_Tapajos","Dxy_Xingu_vs_Tapajos","Fst_Belem_vs_Xingu","Fst_Belem_vs_Tapajos","Fst_Xingu_vs_Tapajos","fdM","Topology_1","Topology_2","Topology_3","Recombination","CDS_proportion","chromosome_size","GC"
"Seg._sites_Belem","NA",0,3.65507624167094E-12,0,2.22044604925031E-16,6.66133814775094E-15,0.000585998898065,2.05700581012991E-08,7.06844360820469E-10,4.65849581132716E-13,7.68067387468818E-10,3.70742769817411E-10,0.175685648683208,0.000174567168631,0.000459158872823,0.076440967615364,7.83993686859219E-07,3.54643989286529E-07,1.11537546407803E-05,3.61844383323096E-06,0.043845073149843,0.078093222514776,1.80135589231689E-05
"Seg._sites_Xingu",0,"NA",7.105427357601E-15,0,0,2.22044604925031E-16,6.3728316452405E-05,3.68819419449551E-09,1.94119531560233E-08,1.58917323744845E-12,3.27197513527722E-09,1.18969656348611E-09,0.134914350817485,0.00012961612375,0.000265631259511,0.093236089409196,1.36812485784787E-07,1.44517110278741E-07,1.34593881115919E-05,9.27419157026321E-07,0.030065735734822,0.056917207260562,1.38439868835327E-05
"Seg._sites_Tapajos",3.65507624167094E-12,7.105427357601E-15,"NA",1.55431223447522E-15,0,0,6.2856684568402E-07,7.89146525903561E-13,1.51840623896504E-06,1.64666280610959E-10,1.53436372496429E-08,4.27132706981581E-09,0.132715141859378,9.75577221837831E-05,0.00012029595158,0.259834464502778,8.42863408179184E-07,4.85618783852004E-07,1.64900250720912E-05,1.07516757719139E-08,0.090104570493189,0.093804719766162,0.000152670570508
"Pi_Belem",0,0,1.55431223447522E-15,"NA",0,0,5.16938883832196E-06,7.0041306088342E-11,3.25571312131956E-08,1.99840144432528E-14,1.70950364974942E-10,3.73243658202682E-11,0.070739382539887,0.000204436922492,0.000835158179521,0.048202668322252,9.22731713925984E-07,8.47978790963211E-07,3.37756346890927E-05,5.51405607396305E-07,0.032000793331126,0.039624125797054,1.11431507474613E-05
"Pi_Xingu",2.22044604925031E-16,0,0,0,"NA",0,3.60817702205196E-06,2.19069207219036E-12,1.36886224577637E-08,5.10702591327572E-15,3.27444737990845E-11,4.9436010840509E-12,0.120315983611616,0.000411729737365,0.000713721518137,0.110052876745312,7.0676837937711E-07,9.69590195243342E-07,5.00553597535536E-05,5.68951272761353E-08,0.03325444114079,0.04730197474123,7.54159310845104E-06
"Pi_Tapajos",6.66133814775094E-15,2.22044604925031E-16,0,0,0,"NA",8.57925311503749E-06,3.04645197957143E-13,2.92929080991655E-09,6.86117829218347E-14,8.35553848332893E-12,1.48969725444204E-12,0.256246131210376,0.000643856969657,0.000568298473925,0.23804650331462,3.40503907159118E-06,1.89514085402465E-06,3.5439630462708E-05,4.64004057398881E-09,0.067786902238469,0.067462897451325,2.23535941459296E-05
"Taj_D_Belem",0.000585998898065,6.3728316452405E-05,6.2856684568402E-07,5.16938883832196E-06,3.60817702205196E-06,8.57925311503749E-06,"NA",2.46846045826032E-08,0.012687899136226,2.19241907410961E-05,0.00012206965572,6.21620082219554E-05,0.015881304333748,0.004144816565471,0.013499231320963,0.126315334929265,0.000355438995644,0.000545482616904,0.00386120058571,8.0557673451942E-06,0.098103344334901,0.039359829215204,0.004469679542313
"Taj_D_Xingu",2.05700581012991E-08,3.68819419449551E-09,7.89146525903561E-13,7.0041306088342E-11,2.19069207219036E-12,3.04645197957143E-13,2.46846045826032E-08,"NA",6.1685341345985E-07,1.3864465131519E-12,8.32591773303193E-11,1.40079059463005E-11,0.209884176889724,0.001063702062079,0.00067334125471,0.413106383709271,3.97624654313589E-06,2.68152744764549E-06,5.20388377389658E-05,2.07633910065397E-11,0.12547063726882,0.091907032246808,0.00013829809259
"Taj_D_Tapajos",7.06844360820469E-10,1.94119531560233E-08,1.51840623896504E-06,3.25571312131956E-08,1.36886224577637E-08,2.92929080991655E-09,0.012687899136226,6.1685341345985E-07,"NA",7.67252927857953E-12,4.39648317751562E-14,3.1996627569697E-13,0.88581242597566,0.038931969173771,0.019510552870636,0.340556076678216,0.000268792577128,0.000147357546354,0.000565739380133,9.87947193387129E-07,0.048201115721525,0.061594943669221,3.64619338366623E-06
"Dxy_Belem_vs_Xingu",4.65849581132716E-13,1.58917323744845E-12,1.64666280610959E-10,1.99840144432528E-14,5.10702591327572E-15,6.86117829218347E-14,2.19241907410961E-05,1.3864465131519E-12,7.67252927857953E-12,"NA",2.22044604925031E-16,0,0.253242256571005,0.001527676205793,0.001774696188019,0.118440931221893,1.64623960818844E-06,8.55834015656143E-07,2.08561032057908E-05,2.93751727387104E-08,0.046063770227475,0.047493628643046,5.37668035871519E-06
"Dxy_Belem_vs_Tapajos",7.68067387468818E-10,3.27197513527722E-09,1.53436372496429E-08,1.70950364974942E-10,3.27444737990845E-11,8.35553848332893E-12,0.00012206965572,8.32591773303193E-11,4.39648317751562E-14,2.22044604925031E-16,"NA",0,0.559745189306455,0.036995461776106,0.031382380330634,0.172465633451547,0.000277019159586,0.000215592371701,0.001058872014814,1.94170204359523E-08,0.040989136588446,0.033726583759441,1.05782820680744E-06
"Dxy_Xingu_vs_Tapajos",3.70742769817411E-10,1.18969656348611E-09,4.27132706981581E-09,3.73243658202682E-11,4.9436010840509E-12,1.48969725444204E-12,6.21620082219554E-05,1.40079059463005E-11,3.1996627569697E-13,0,0,"NA",0.466013755459247,0.028276811397417,0.025607287878523,0.168919217904314,0.000200476331519,0.00017089858533,0.000984687310152,1.40370808310308E-08,0.037776076860365,0.035506525351593,9.62350215516494E-07
"Fst_Belem_vs_Xingu",0.175685648683208,0.134914350817485,0.132715141859378,0.070739382539887,0.120315983611616,0.256246131210376,0.015881304333748,0.209884176889724,0.88581242597566,0.253242256571005,0.559745189306455,0.466013755459247,"NA",0.007435047772215,0.167319038877065,2.75934872648875E-05,0.119117484231589,0.224645013094497,0.49046863188952,0.884148524088423,0.409887446319755,0.608939559342243,0.330910932676491
"Fst_Belem_vs_Tapajos",0.000174567168631,0.00012961612375,9.75577221837831E-05,0.000204436922492,0.000411729737365,0.000643856969657,0.004144816565471,0.001063702062079,0.038931969173771,0.001527676205793,0.036995461776106,0.028276811397417,0.007435047772215,"NA",9.08828567958153E-13,0.219394611441521,4.83390849126408E-07,3.32033378569463E-09,9.14398823326223E-09,0.014240860937306,0.955286912586849,0.913897512816337,0.310836306447299
"Fst_Xingu_vs_Tapajos",0.000459158872823,0.000265631259511,0.00012029595158,0.000835158179521,0.000713721518137,0.000568298473925,0.013499231320963,0.00067334125471,0.019510552870636,0.001774696188019,0.031382380330634,0.025607287878523,0.167319038877065,9.08828567958153E-13,"NA",0.990693304214353,2.09677796680907E-07,6.94717172677883E-10,2.13824691286391E-09,0.003608660764257,0.708192965542337,0.810615632355118,0.4021664542143
"fdM",0.076440967615364,0.093236089409196,0.259834464502778,0.048202668322252,0.110052876745312,0.23804650331462,0.126315334929265,0.413106383709271,0.340556076678216,0.118440931221893,0.172465633451547,0.168919217904314,2.75934872648875E-05,0.219394611441521,0.990693304214353,"NA",0.389367367151706,0.505271021272838,0.713276677994967,0.992854132483107,0.124073080850622,0.118487306881664,0.056597304936518
"Topology_1",7.83993686859219E-07,1.36812485784787E-07,8.42863408179184E-07,9.22731713925984E-07,7.0676837937711E-07,3.40503907159118E-06,0.000355438995644,3.97624654313589E-06,0.000268792577128,1.64623960818844E-06,0.000277019159586,0.000200476331519,0.119117484231589,4.83390849126408E-07,2.09677796680907E-07,0.389367367151706,"NA",8.88178419700125E-15,4.63806404615852E-07,1.50028487317933E-05,0.057433952233688,0.254869383550797,0.00230762918863
"Topology_2",3.54643989286529E-07,1.44517110278741E-07,4.85618783852004E-07,8.47978790963211E-07,9.69590195243342E-07,1.89514085402465E-06,0.000545482616904,2.68152744764549E-06,0.000147357546354,8.55834015656143E-07,0.000215592371701,0.00017089858533,0.224645013094497,3.32033378569463E-09,6.94717172677883E-10,0.505271021272838,8.88178419700125E-15,"NA",5.6754601018838E-13,2.28898606513539E-05,0.268867292226257,0.403888720146707,0.015052091233499
"Topology_3",1.11537546407803E-05,1.34593881115919E-05,1.64900250720912E-05,3.37756346890927E-05,5.00553597535536E-05,3.5439630462708E-05,0.00386120058571,5.20388377389658E-05,0.000565739380133,2.08561032057908E-05,0.001058872014814,0.000984687310152,0.49046863188952,9.14398823326223E-09,2.13824691286391E-09,0.713276677994967,4.63806404615852E-07,5.6754601018838E-13,"NA",0.000414233860311,0.919827155505498,0.694579223491558,0.131495158979763
"Recombination",3.61844383323096E-06,9.27419157026321E-07,1.07516757719139E-08,5.51405607396305E-07,5.68951272761353E-08,4.64004057398881E-09,8.0557673451942E-06,2.07633910065397E-11,9.87947193387129E-07,2.93751727387104E-08,1.94170204359523E-08,1.40370808310308E-08,0.884148524088423,0.014240860937306,0.003608660764257,0.992854132483107,1.50028487317933E-05,2.28898606513539E-05,0.000414233860311,"NA",0.041768246572967,0.01130389598654,6.51468185692838E-05
"CDS_proportion",0.043845073149843,0.030065735734822,0.090104570493189,0.032000793331126,0.03325444114079,0.067786902238469,0.098103344334901,0.12547063726882,0.048201115721525,0.046063770227475,0.040989136588446,0.037776076860365,0.409887446319755,0.955286912586849,0.708192965542337,0.124073080850622,0.057433952233688,0.268867292226257,0.919827155505498,0.041768246572967,"NA",0.000882531077362,7.74532588954102E-07
"chromosome_size",0.078093222514776,0.056917207260562,0.093804719766162,0.039624125797054,0.04730197474123,0.067462897451325,0.039359829215204,0.091907032246808,0.061594943669221,0.047493628643046,0.033726583759441,0.035506525351593,0.608939559342243,0.913897512816337,0.810615632355118,0.118487306881664,0.254869383550797,0.403888720146707,0.694579223491558,0.01130389598654,0.000882531077362,"NA",0.003589749483529
"GC",1.80135589231689E-05,1.38439868835327E-05,0.000152670570508,1.11431507474613E-05,7.54159310845104E-06,2.23535941459296E-05,0.004469679542313,0.00013829809259,3.64619338366623E-06,5.37668035871519E-06,1.05782820680744E-06,9.62350215516494E-07,0.330910932676491,0.310836306447299,0.4021664542143,0.056597304936518,0.00230762918863,0.015052091233499,0.131495158979763,6.51468185692838E-05,7.74532588954102E-07,0.003589749483529,"NA"
