,"Seg. sites Belem","Seg. sites Xingu","Seg. sites Tapajos","Pi Belem","Pi Xingu","Pi Tapajos","Taj D Belem","Taj D Xingu","Taj D Tapajos","Dxy Belem vs Xingu","Dxy Belem vs Tapajos","Dxy Xingu vs Tapajos","Fst Belem vs Xingu","Fst Belem vs Tapajos","Fst Xingu vs Tapajos","fdM","Topology 1","Topology 2","Topology 3","Recombination","CDS proportion","chromosome size","GC"
"Seg. sites Belem","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093110568915906,0,1.70308211977499E-13,0,0,0.004968276602127,0,0
"Seg. sites Xingu",0,"NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0.291975095762837,0,0,0,0,0.013787506806661,0,0
"Seg. sites Tapajos",0,0,"NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151176317828515,8.39328606616618E-12,0
"Pi Belem",0,0,0,"NA",0,0,0,0,0,0,0,0,0,0,0,0.000326368062798,0,0,0,0,0.005744217828871,0,0
"Pi Xingu",0,0,0,0,"NA",0,0,0,0,0,0,0,0,0,0,0.000886928732541,0,0,0,0,0.020324890880184,7.94919685631612E-14,0
"Pi Tapajos",0,0,0,0,0,"NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051066713820994,6.57429666262033E-12,0
"Taj D Belem",0,0,0,0,0,0,"NA",0,0,0,0,0,0,0,8.88178419700125E-16,0,0,0,0,0,0.538251441115431,0.492607265314729,1.96053548950914E-08
"Taj D Xingu",0,0,0,0,0,0,0,"NA",0,0,0,0,2.9831692671678E-11,0,8.43769498715119E-15,0,0,0,0,0,0.748843252851021,0.081682580209596,3.37653460746878E-09
"Taj D Tapajos",0,0,0,0,0,0,0,0,"NA",0,0,0,0,0,0,0,0,0,0,0,0.26661444768408,0.000168338099467,0
"Dxy Belem vs Xingu",0,0,0,0,0,0,0,0,0,"NA",0,0,8.88785913311096E-07,0,3.5527136788005E-15,2.76071669969014E-07,0,0,0,0,0.10799333812761,0.002675738570308,2.89990254032091E-13
"Dxy Belem vs Tapajos",0,0,0,0,0,0,0,0,0,0,"NA",0,5.64956081916534E-10,0,8.02440336400423E-11,0,0,0,0,0,0.246716615877918,0.006047946322149,7.13558101494982E-11
"Dxy Xingu vs Tapajos",0,0,0,0,0,0,0,0,0,0,0,"NA",0,0,3.72972763784674E-10,0,0,0,0,0,0.389201830952922,0.007727255918011,4.17621492942999E-12
"Fst Belem vs Xingu",0,0,0,0,0,0,0,2.9831692671678E-11,0,8.88785913311096E-07,5.64956081916534E-10,0,"NA",0,0,0.128657319714713,0,0,3.70016548765228E-05,0,0.981335040227401,6.11273436312842E-08,2.22328822019335E-10
"Fst Belem vs Tapajos",0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",0,5.24025267623074E-14,0,1.93803055248409E-06,0,0,0.915180548919249,1.66699290606864E-05,1.3871455095682E-09
"Fst Xingu vs Tapajos",0,0,0,0,0,0,8.88178419700125E-16,8.43769498715119E-15,0,3.5527136788005E-15,8.02440336400423E-11,3.72972763784674E-10,0,0,"NA",1.41379494777993E-08,0.505899617311675,0.002315410170431,0.013077339438931,0,0.926800790783033,0.75023506992722,2.49218549397412E-06
"fdM",0.093110568915906,0.291975095762837,0,0.000326368062798,0.000886928732541,0,0,0,0,2.76071669969014E-07,0,0,0.128657319714713,5.24025267623074E-14,1.41379494777993E-08,"NA",0,0,0,3.25073301610246E-12,0.032863530251289,0.348271431257247,2.21485553790757E-05
"Topology 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.505899617311675,0,"NA",0,0,0,0.499803392528356,0.731524353044075,0.02935096659999
"Topology 2",1.70308211977499E-13,0,0,0,0,0,0,0,0,0,0,0,0,1.93803055248409E-06,0.002315410170431,0,0,"NA",0,0,0.246799145276952,0.481041669796774,0.959395187766545
"Topology 3",0,0,0,0,0,0,0,0,0,0,0,0,3.70016548765228E-05,0,0.013077339438931,0,0,0,"NA",0,0.712445913215003,0.751823874051795,0.00356239012106
"Recombination",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25073301610246E-12,0,0,0,"NA",0.218242355648088,0,0
"CDS proportion",0.004968276602127,0.013787506806661,0.151176317828515,0.005744217828871,0.020324890880184,0.051066713820994,0.538251441115431,0.748843252851021,0.26661444768408,0.10799333812761,0.246716615877918,0.389201830952922,0.981335040227401,0.915180548919249,0.926800790783033,0.032863530251289,0.499803392528356,0.246799145276952,0.712445913215003,0.218242355648088,"NA",1.49457637643735E-06,2.22044604925031E-16
"chromosome size",0,0,8.39328606616618E-12,0,7.94919685631612E-14,6.57429666262033E-12,0.492607265314729,0.081682580209596,0.000168338099467,0.002675738570308,0.006047946322149,0.007727255918011,6.11273436312842E-08,1.66699290606864E-05,0.75023506992722,0.348271431257247,0.731524353044075,0.481041669796774,0.751823874051795,0,1.49457637643735E-06,"NA",0
"GC",0,0,0,0,0,0,1.96053548950914E-08,3.37653460746878E-09,0,2.89990254032091E-13,7.13558101494982E-11,4.17621492942999E-12,2.22328822019335E-10,1.3871455095682E-09,2.49218549397412E-06,2.21485553790757E-05,0.02935096659999,0.959395187766545,0.00356239012106,0,2.22044604925031E-16,0,"NA"
