"scaffold","start","end","mid","sites","l_bel","l_xin","l_tap","S_bel","S_xin","S_tap","thetaPi_bel","thetaPi_xin","thetaPi_tap","thetaW_bel","thetaW_xin","thetaW_tap","TajD_bel","TajD_xin","TajD_tap","pi_bel","pi_xin","pi_tap","dxy_bel_xin","dxy_bel_tap","dxy_xin_tap","Fst_bel_xin","Fst_bel_tap","Fst_xin_tap","ABBA","BABA","D","fd","fdM","topo1","topo2","topo3","recombRate","cds_porp","GC"
"chr1",1,100000,49777,1984,1984,1984,1984,1375,1315,1148,501.1333,433.6923,374.0915,486.0429,413.5046,333.7643,0.1558,0.2214,0.517,0.2526,0.2186,0.1886,0.2321,0.2256,0.2047,-0.0076,0.0112,0.0028,45.3329,37.7552,0.0912,0.1814,0.1086,1641.85,1887.8,1510.35,1.93238410511118E-09,"NA","NA"
"chr1",100001,200000,149274,1951,1951,1951,1951,1424,1377,1222,502.1111,433.956,379.4183,503.3637,433.0007,355.2788,-0.0125,0.01,0.2908,0.2574,0.2224,0.1945,0.2372,0.2277,0.2067,-0.0058,0.0039,-0.0043,38.3246,32.0587,0.089,0.1563,0.1107,1668.8,1765.55,1605.65,1.87070503608257E-09,"NA","NA"
"chr1",200001,300000,248906,1760,1760,1760,1760,1289,1310,1106,459.9111,420.2308,358.2876,455.6431,411.9324,321.5535,0.047,0.0914,0.4888,0.2613,0.2388,0.2036,0.2488,0.2347,0.2201,-0.0026,0.0047,-0.0025,33.848,26.8806,0.1147,0.1868,0.1378,1715.64705882353,1780.23529411765,1544.11764705882,1.97189478405406E-09,"NA","NA"
"chr1",300001,400000,350662,1720,1720,1720,1720,1270,1285,1090,467.4,411.967,351.9673,448.9269,404.0711,316.9017,0.2065,0.0886,0.4734,0.2717,0.2395,0.2046,0.2527,0.24,0.2203,-0.006,0.0037,-0.0041,34.0897,27.5897,0.1054,0.1654,0.1241,1661.27777777778,1771.83333333333,1606.88888888889,1.91906760043301E-09,"NA","NA"
"chr1",400001,500000,451055,1767,1767,1767,1767,1318,1268,1026,457.4444,389.6593,328.3922,465.8942,398.7254,298.2946,-0.091,-0.1031,0.4317,0.2589,0.2205,0.1858,0.2373,0.2255,0.2025,-0.0051,0.0071,-0.0017,30.8254,24.2397,0.1196,0.1784,0.1369,1615.88235294118,1856.11764705882,1568,1.23269426173832E-09,"NA","NA"
"chr1",500001,600000,550553,1748,1748,1748,1748,1279,1332,1118,471.5778,430.1868,379.3725,452.1083,418.8503,325.0423,0.2161,0.1227,0.7152,0.2698,0.2461,0.217,0.256,0.2421,0.2294,-0.0038,-0.0025,-0.0048,29.9028,28.3893,0.026,0.0476,0.0323,1710,1666.72222222222,1663.27777777778,1.94547155439354E-09,"NA","NA"
"chr1",600001,700000,652470,1626,1626,1626,1626,1196,1162,1010,412.3333,365.4615,323.3791,422.769,365.3934,293.6428,-0.1239,0.0008,0.4332,0.2536,0.2248,0.1989,0.2371,0.2294,0.2104,-0.0045,0.0068,-0.0035,27.9508,22.9659,0.0979,0.1605,0.1091,1634.3125,1787.5,1618.1875,1.99670202581096E-09,"NA","NA"
"chr1",700001,800000,747164,1631,1631,1631,1631,1217,1161,1028,424.8889,363.8901,325.2092,430.1922,365.079,298.8761,-0.0619,-0.0148,0.3769,0.2605,0.2231,0.1994,0.2405,0.2331,0.2115,-0.0028,0.0068,0.0005,31.7512,27.3337,0.0748,0.1268,0.0881,1630.125,1861.6875,1548.1875,1.85969218616299E-09,"NA","NA"
"chr1",800001,900000,852691,1785,1785,1785,1785,1331,1310,1127,480.4444,415.967,366.085,470.4895,411.9324,327.6589,0.1062,0.0444,0.5018,0.2692,0.233,0.2051,0.2476,0.2397,0.2201,-0.0073,0.0054,0.0024,34.6984,27.4706,0.1163,0.1856,0.1346,1614.33333333333,1771,1654.66666666667,2.01637642403142E-09,"NA","NA"
"chr1",900001,1000000,950960,1788,1788,1788,1788,1314,1332,1107,458.7111,418.1429,352.5882,464.4803,418.8503,321.8442,-0.0623,-0.0077,0.4087,0.2565,0.2339,0.1972,0.2441,0.232,0.2161,-0.0022,0.011,0.0013,32.348,26.7329,0.095,0.1644,0.1018,1676,1744,1620,2.00171946548132E-09,"NA","NA"
"chr1",1000001,1100000,1049458,1827,1827,1827,1827,1342,1286,1180,473.2,404.6813,363.5163,474.3779,404.3855,343.0679,-0.0125,0.0033,0.2551,0.259,0.2215,0.199,0.2394,0.233,0.2107,-0.0019,0.0086,0.0011,33.6762,30.4889,0.0497,0.0879,0.0553,1647.27777777778,1734.88888888889,1657.83333333333,1.99812008315032E-09,"NA","NA"
"chr1",1100001,1200000,1151022,1978,1978,1978,1978,1479,1436,1290,530.7778,468.5824,404.9216,522.8054,451.5533,375.0488,0.0765,0.171,0.3409,0.2683,0.2369,0.2047,0.2503,0.2369,0.2211,-0.0048,0.0008,0.0008,37.8556,29.4643,0.1246,0.2024,0.1534,1683.7,1730,1626.3,1.81250961174052E-09,"NA","NA"
"chr1",1200001,1300000,1250179,1818,1818,1818,1818,1407,1334,1196,509.9111,439.2967,392.2157,497.3545,419.4792,347.7197,0.1267,0.2142,0.5476,0.2805,0.2416,0.2157,0.2581,0.2486,0.2274,-0.0059,0.0009,-0.0029,36.9623,32.9123,0.058,0.1075,0.0727,1678.77777777778,1723.72222222222,1637.5,1.94189520276901E-09,"NA","NA"
"chr1",1300001,1400000,1350052,2022,2022,2022,2022,1500,1451,1340,541.8444,468.9341,428.3007,530.2286,456.2701,389.5856,0.11,0.1259,0.4253,0.268,0.2319,0.2118,0.2484,0.2398,0.2171,-0.0031,-0.0003,-0.011,36.8329,34.9655,0.026,0.0492,0.0347,1679.90476190476,1622.7619047619,1737.33333333333,1.9805345533173E-09,"NA","NA"
"chr1",1400001,1500000,1449017,2053,2053,2053,2053,1547,1431,1279,524.3333,453.4176,406.9216,546.8425,449.9811,371.8507,-0.2066,0.0346,0.4037,0.2554,0.2209,0.1982,0.2368,0.23,0.2074,-0.0029,0.0069,-0.0051,34.756,32.6798,0.0308,0.0581,0.0363,1734.6,1657.15,1648.25,2.00251260629635E-09,"NA","NA"
"chr1",1500001,1600000,1550592,2131,2131,2131,2131,1558,1595,1345,567.0667,503.0659,443.634,550.7308,501.5512,391.0392,0.1489,0.0137,0.5757,0.2661,0.2361,0.2082,0.2497,0.2429,0.2209,-0.0029,0.0119,-0.0029,36.4524,32.0738,0.0639,0.1042,0.0708,1671.80952380952,1710.80952380952,1657.38095238095,1.51422403745648E-09,"NA","NA"
"chr1",1600001,1700000,1650449,2078,2078,2078,2078,1526,1456,1238,526.5556,439.1978,374.9935,539.4193,457.8424,359.9305,-0.1197,-0.1847,0.1791,0.2534,0.2114,0.1805,0.2323,0.2208,0.1956,-0.0002,0.0088,-0.0009,34.0563,30.1127,0.0615,0.0903,0.0628,1509.42857142857,1866.2380952381,1664.33333333333,2.00396938192483E-09,"NA","NA"
